GO	GO_name	namespace	Gene_ID	Gene_Name	log2FC	p_fdr	pvalue	ratio_in_study	ratio_in_pop
GO:0018193	peptidyl-amino acid modification	BP	TRINITY_DN2037_c0_g1_i9	TRINITY_DN2037_c0_g1_i9	-9.7190199451821	0.012419571052211581	0.0001007060857584	0.002028397565922921	0.012433392539964476
GO:0018193	peptidyl-amino acid modification	BP	TRINITY_DN4112_c0_g1_i5	TRINITY_DN4112_c0_g1_i5	-8.59005503751608	0.012419571052211581	0.0019501695889852	0.002028397565922921	0.012433392539964476
GO:0098542	defense response to other organism	BP	TRINITY_DN12738_c0_g1_i1	TRINITY_DN12738_c0_g1_i1	-9.358920966974823	0.01955064613534842	0.0002278292114015	0.0030425963488843813	0.013765541740674956
GO:0098542	defense response to other organism	BP	TRINITY_DN2530_c0_g1_i9	TRINITY_DN2530_c0_g1_i9	-9.21823682202904	0.01955064613534842	0.0011730003728165	0.0030425963488843813	0.013765541740674956
GO:0098542	defense response to other organism	BP	TRINITY_DN7520_c0_g1_i7	TRINITY_DN7520_c0_g1_i7	-10.214790991021092	0.01955064613534842	3.347679364650297e-05	0.0030425963488843813	0.013765541740674956
GO:0140546	defense response to symbiont	BP	TRINITY_DN12738_c0_g1_i1	TRINITY_DN12738_c0_g1_i1	-9.358920966974823	0.01955064613534842	0.0002278292114015	0.0030425963488843813	0.013765541740674956
GO:0140546	defense response to symbiont	BP	TRINITY_DN2530_c0_g1_i9	TRINITY_DN2530_c0_g1_i9	-9.21823682202904	0.01955064613534842	0.0011730003728165	0.0030425963488843813	0.013765541740674956
GO:0140546	defense response to symbiont	BP	TRINITY_DN7520_c0_g1_i7	TRINITY_DN7520_c0_g1_i7	-10.214790991021092	0.01955064613534842	3.347679364650297e-05	0.0030425963488843813	0.013765541740674956
GO:0006955	immune response	BP	TRINITY_DN12738_c0_g1_i1	TRINITY_DN12738_c0_g1_i1	-9.358920966974823	0.01955064613534842	0.0002278292114015	0.0030425963488843813	0.013765541740674956
GO:0006955	immune response	BP	TRINITY_DN2530_c0_g1_i9	TRINITY_DN2530_c0_g1_i9	-9.21823682202904	0.01955064613534842	0.0011730003728165	0.0030425963488843813	0.013765541740674956
GO:0006955	immune response	BP	TRINITY_DN7520_c0_g1_i7	TRINITY_DN7520_c0_g1_i7	-10.214790991021092	0.01955064613534842	3.347679364650297e-05	0.0030425963488843813	0.013765541740674956
GO:0045087	innate immune response	BP	TRINITY_DN12738_c0_g1_i1	TRINITY_DN12738_c0_g1_i1	-9.358920966974823	0.01955064613534842	0.0002278292114015	0.0030425963488843813	0.013765541740674956
GO:0045087	innate immune response	BP	TRINITY_DN2530_c0_g1_i9	TRINITY_DN2530_c0_g1_i9	-9.21823682202904	0.01955064613534842	0.0011730003728165	0.0030425963488843813	0.013765541740674956
GO:0045087	innate immune response	BP	TRINITY_DN7520_c0_g1_i7	TRINITY_DN7520_c0_g1_i7	-10.214790991021092	0.01955064613534842	3.347679364650297e-05	0.0030425963488843813	0.013765541740674956
