KO	Pathway	Pathway_name	Pathway_class
K03231	map03013	Nucleocytoplasmic transport	Unknown
K00025	map00020	Citrate cycle (TCA cycle)	Unknown
K07441	map00510	N-Glycan biosynthesis	Unknown
K21248	map04140	Autophagy - animal	Unknown
K02729	map03050	Proteasome	Unknown
K00799	map00480	Glutathione metabolism	Unknown
K02261	map00190	Oxidative phosphorylation	Unknown
K08073	map03410	Base excision repair	Unknown
K13299	map00480	Glutathione metabolism	Unknown
K01148	map03018	RNA degradation	Unknown
K02730	map03050	Proteasome	Unknown
K02881	map03010	Ribosome	Unknown
K01634	map00600	Sphingolipid metabolism	Unknown
K02927	map03010	Ribosome	Unknown
K20094	map04215	Apoptosis - multiple species	Unknown
K02895	map03010	Ribosome	Unknown
K00850	map00010	Glycolysis / Gluconeogenesis	Unknown
K00699	map00040	Pentose and glucuronate interconversions	Unknown
K02155	map00190	Oxidative phosphorylation	Unknown
K02916	map03010	Ribosome	Unknown
K14574	map03008	Ribosome biogenesis in eukaryotes	Unknown
K00831	map00260	Glycine, serine and threonine metabolism	Unknown
K03115	map03008	Ribosome biogenesis in eukaryotes	Unknown
K03868	map03420	Nucleotide excision repair	Unknown
K12890	map03040	Spliceosome	Unknown
K12663	map04146	Peroxisome	Unknown
K19766	map04212	Longevity regulating pathway - worm	Unknown
K00408	map04150	mTOR signaling pathway	Unknown
K01587	map00230	Purine metabolism	Unknown
K12304	map00230	Purine metabolism	Unknown
K17402	map03010	Ribosome	Unknown
K00382	map00010	Glycolysis / Gluconeogenesis	Unknown
K10414	map04145	Phagosome	Unknown
K04354	map03015	mRNA surveillance pathway	Unknown
K00026	map00020	Citrate cycle (TCA cycle)	Unknown
K00972	map00520	Amino sugar and nucleotide sugar metabolism	Unknown
K01674	map00910	Nitrogen metabolism	Unknown
K03036	map03050	Proteasome	Unknown
K17430	map03010	Ribosome	Unknown
K00451	map00350	Tyrosine metabolism	Unknown
K02898	map03010	Ribosome	Unknown
K11137	map03460	Fanconi anemia pathway	Unknown
K12627	map03018	RNA degradation	Unknown
K08490	map04130	SNARE interactions in vesicular transport	Unknown
K01952	map00230	Purine metabolism	Unknown
