Pathway	Pathway_name	Pathway_class	Study_count	Background_count	Odds_ratio	P_value	FDR
map03010	Ribosome	Unknown	7	7	7.2631578947368425	0.0009515468688386508	0.027594859196320876
map03008	Ribosome biogenesis in eukaryotes	Unknown	2	3	4.341085271317829	0.14046638898659708	0.39062960040513006
map00910	Nitrogen metabolism	Unknown	1	1	6.409090909090909	0.25592973819646453	0.39062960040513006
map00520	Amino sugar and nucleotide sugar metabolism	Unknown	1	1	6.409090909090909	0.25592973819646453	0.39062960040513006
map04145	Phagosome	Unknown	1	1	6.409090909090909	0.25592973819646453	0.39062960040513006
map00230	Purine metabolism	Unknown	3	4	4.982142857142857	0.056864448672869834	0.39062960040513006
map04212	Longevity regulating pathway - worm	Unknown	1	1	6.409090909090909	0.25592973819646453	0.39062960040513006
map04146	Peroxisome	Unknown	1	1	6.409090909090909	0.25592973819646453	0.39062960040513006
map03420	Nucleotide excision repair	Unknown	1	1	6.409090909090909	0.25592973819646453	0.39062960040513006
map03460	Fanconi anemia pathway	Unknown	1	1	6.409090909090909	0.25592973819646453	0.39062960040513006
map00040	Pentose and glucuronate interconversions	Unknown	1	1	6.409090909090909	0.25592973819646453	0.39062960040513006
map00010	Glycolysis / Gluconeogenesis	Unknown	2	4	3.244186046511628	0.19273789341576242	0.39062960040513006
map04130	SNARE interactions in vesicular transport	Unknown	1	1	6.409090909090909	0.25592973819646453	0.39062960040513006
map03018	RNA degradation	Unknown	2	3	4.341085271317829	0.14046638898659708	0.39062960040513006
map03410	Base excision repair	Unknown	1	1	6.409090909090909	0.25592973819646453	0.39062960040513006
map00480	Glutathione metabolism	Unknown	2	2	6.534883720930233	0.09222725775625304	0.39062960040513006
map03050	Proteasome	Unknown	3	6	3.2976190476190474	0.11186215313139095	0.39062960040513006
map00020	Citrate cycle (TCA cycle)	Unknown	2	4	3.244186046511628	0.19273789341576242	0.39062960040513006
map04215	Apoptosis - multiple species	Unknown	1	1	6.409090909090909	0.25592973819646453	0.39062960040513006
map00260	Glycine, serine and threonine metabolism	Unknown	1	2	3.1931818181818183	0.35863882341474407	0.4000202261164453
map03040	Spliceosome	Unknown	1	2	3.1931818181818183	0.35863882341474407	0.4000202261164453
map00190	Oxidative phosphorylation	Unknown	2	6	2.147286821705426	0.30200102488917463	0.4000202261164453
map04150	mTOR signaling pathway	Unknown	1	2	3.1931818181818183	0.35863882341474407	0.4000202261164453
map04140	Autophagy - animal	Unknown	1	2	3.1931818181818183	0.35863882341474407	0.4000202261164453
map03015	mRNA surveillance pathway	Unknown	1	2	3.1931818181818183	0.35863882341474407	0.4000202261164453
map00350	Tyrosine metabolism	Unknown	1	2	3.1931818181818183	0.35863882341474407	0.4000202261164453
map00600	Sphingolipid metabolism	Unknown	1	3	2.121212121212121	0.447442678634241	0.447442678634241
map00510	N-Glycan biosynthesis	Unknown	1	3	2.121212121212121	0.447442678634241	0.447442678634241
map03013	Nucleocytoplasmic transport	Unknown	1	3	2.121212121212121	0.447442678634241	0.447442678634241
