GO	name	namespace	p_fdr	ratio_in_study	ratio_in_pop	n_genes
GO:0018193	peptidyl-amino acid modification	BP	0.012419571052211581	0.020537124802527645	0.012433392539964476	26
GO:0098542	defense response to other organism	BP	0.01955064613534842	0.022116903633491312	0.013765541740674956	28
GO:0140546	defense response to symbiont	BP	0.01955064613534842	0.022116903633491312	0.013765541740674956	28
GO:0006955	immune response	BP	0.01955064613534842	0.022116903633491312	0.013765541740674956	28
GO:0045087	innate immune response	BP	0.01955064613534842	0.022116903633491312	0.013765541740674956	28
GO:0006952	defense response	BP	0.03454681941136736	0.02527646129541864	0.016429840142095916	32
GO:0002376	immune system process	BP	0.03454681941136736	0.02448657187993681	0.015985790408525755	31
GO:0016020	membrane	CC	0.04447218990150233	0.12796208530805686	0.10701598579040852	162
GO:0140096	catalytic activity, acting on a protein	MF	2.8765755569569106e-08	0.1287519747235387	0.09280639431616342	163
GO:0003824	catalytic activity	MF	7.49929119352694e-05	0.21484992101105846	0.17628774422735347	272
GO:0016787	hydrolase activity	MF	0.00020092097741755913	0.11295418641390205	0.08614564831261101	143
GO:0008233	peptidase activity	MF	0.00020092097741755913	0.07977883096366509	0.05772646536412078	101
GO:0008238	exopeptidase activity	MF	0.00046755202604681465	0.0315955766192733	0.019538188277087035	40
GO:0008236	serine-type peptidase activity	MF	0.010317315271035162	0.015007898894154818	0.008436944937833037	19
GO:0017171	serine hydrolase activity	MF	0.010317315271035162	0.015007898894154818	0.008436944937833037	19
GO:0016301	kinase activity	MF	0.032380466232919125	0.036334913112164295	0.025310834813499113	46
GO:1901363	heterocyclic compound binding	MF	0.03454681941136736	0.08293838862559241	0.06571936056838366	105
GO:0004177	aminopeptidase activity	MF	0.039997615291144935	0.020537124802527645	0.012877442273534635	26
GO:0016773	phosphotransferase activity, alcohol group as acceptor	MF	0.039997615291144935	0.0339652448657188	0.023534635879218474	43
GO:0043167	ion binding	MF	0.04146726516703445	0.15639810426540285	0.13321492007104796	198
GO:0036094	small molecule binding	MF	0.04146726516703445	0.1579778830963665	0.13454706927175844	200
